FILE: evap-pan.xls Updated: 7/24/2012 by John P. Anderson
File header updated by Ken Ramsey on 02/11/2013.

Data entered & verified in KeyesPunch dataentry software beginning with date 5/8/12. 
Data appended to this file from KeyesPunch data output file

Variable description:
interval_days = number of days between readings (date_read minus begin_period)
date_start = beginning date on which evaporation calculation is based
date_read = date of measurement
time = military time of measurement
curT = current water temperature (F)
minT = minimum water temperature since last reading (F)
maxT = maximum water temperature since last reading (F)
i_water = initial water level (inches)
f_water = final water level after evaporation (inches)
rain = rainfall since last measurement (inches)
init = initials of field reader
evap = evaporation since last good measurement (begin_period to date_read) (inches)
qflag = quality flag (C=good data. Comment present; G=good data; E=esimated water level; H=water level too high to measure; I=ice in pan; L=water level too low to measure; Q=questionable water level; R=missing rain data; T=missing min or max temperature; W=missing water level
comment = comment

interval_days,date_start,date_read,time,curT,minT,maxT,i_water,f_water,rain,init,evap,qflag,comment
1,07/12/1983,07/13/1983,.,.,64,83,1.492,1.218,0.17,.,0.444,G,
6,07/13/1983,07/19/1983,.,.,., .,3.190,  ., .,.,.,L,water too low to measure
1,07/19/1983,07/20/1983,.,.,., ., .,2.960, .,.,.,L,water too low to measure
6,07/20/1983,07/26/1983,.,.,62,96,2.960,0.720,0.00,.,2.240,G,
3,07/26/1983,07/29/1983,.,67,65,91,5.040,3.864,0.00,.,1.176,G,
3,07/29/1983,08/01/1983,.,73,62,90,5.050,3.584,0.00,.,1.466,G,
1,08/01/1983,08/02/1983,.,70,63,93,3.584,3.484,0.24,.,0.340,G,
3,08/02/1983,08/05/1983,.,63,62,93,3.484,2.512,0.00,.,0.972,G,
5,08/05/1983,08/10/1983,.,64,63,88,4.448,2.644,0.00,.,1.804,G,
1,08/10/1983,08/11/1983,.,72,60,88,4.978,4.102,0.00,.,0.876,G,
4,08/11/1983,08/15/1983,.,63,63,92,4.102,2.828,0.13,.,1.404,G,
4,08/15/1983,08/19/1983,.,57,57,89,3.748,2.158,0.04,.,1.630,G,
3,08/19/1983,08/22/1983,.,63,53,89,4.036,2.701,0.00,.,1.335,G,
2,08/22/1983,08/24/1983,.,73,62,91,3.612,3.056,0.09,.,0.646,G,
7,08/24/1983,08/31/1983,.,84,44,95,3.782,2.834,0.00,.,2.480,C,reading taken in afternoon.No date on data sheet for reading between 8/24-31/83: mnT=44 mxT=93 iH2O=3.056 fH2O=1.824 rain=0.30. Evap includes these.
2,08/31/1983,09/02/1983,.,65,64,95,2.834,2.142,0.00,.,0.692,G,
5,09/02/1983,09/07/1983,.,64,59,95,2.956,1.452,0.00,.,1.504,G,
2,09/07/1983,09/09/1983,.,73,63,95,1.452,1.489,0.70,.,0.663,G,
3,09/09/1983,09/12/1983,.,70,64,98,5.000,4.094,0.00,.,0.906,G,
2,09/12/1983,09/14/1983,.,.,64,94,3.094,2.584,0.00,.,0.510,G,
2,09/14/1983,09/16/1983,.,65,61,93,2.584,2.000,0.00,.,0.584,G,
3,09/16/1983,09/19/1983,.,61,73,89,4.490,3.378,0.00,.,1.112,G,
2,09/19/1983,09/21/1983,.,48,48,88,3.378,2.716,0.00,.,0.662,G,
9,09/21/1983,09/30/1983,.,63,48,82,3.634,1.921,0.21,.,1.923,G,
3,09/30/1983,10/03/1983,.,.,., .,2.952,2.890,0.50,.,0.562,T,
14,10/03/1983,10/17/1983,.,.,., .,2.890,.,0.16,.,.,L,water too low to record
7,10/17/1983,10/24/1983,.,62,46,84,2.726,2.584,0.70,.,0.842,G,
9,10/24/1983,11/02/1983,.,55,46,84,2.584,1.562,0.17,.,1.192,G,
5,11/02/1983,11/07/1983,.,69,48,72,1.562,2.063,1.18,.,0.679,G,
21,11/07/1983,11/28/1983,.,.,., .,2.031,.,0.00,.,.,L,H2o 2low2read.
2,11/28/1983,11/30/1983,.,40,32,73,2.031,1.745,0.00,.,0.286,G,
27,11/30/1983,12/27/1983,.,47,32,52,4.296,3.892,0.12,.,0.524,G,
8,12/27/1983,01/04/1984,.,42,31,72,3.892,3.581,0.08,.,0.391,G,
12,01/04/1984,01/16/1984,.,43,34,78,3.581,3.175,0.34,.,0.746,G,
3,01/16/1984,01/19/1984,.,47,32,71,3.175,2.870,0.00,.,0.305,C,water added-reset
4,01/19/1984,01/23/1984,.,45,31,71,3.775,3.437,0.00,.,.,I,"~1/16"" ice over 1/3 pan @ 1255"
7,01/23/1984,01/30/1984,.,41,33,79,3.437,2.730,0.00,.,1.045,G,
14,01/30/1984,02/13/1984,.,65,31,82,2.730,1.065,0.00,.,1.665,G,
8,02/13/1984,02/21/1984,.,47,30,74,4.736,4.240,0.00,.,0.496,G,
14,02/21/1984,03/06/1984,.,42,32,88,3.007,2.082,0.22,.,1.145,C,"0.22"" snow/rain 3/5/84"
6,03/06/1984,03/12/1984,.,64,32,94,2.082,0.094,0.00,.,1.988,G,
7,03/12/1984,03/19/1984,.,74,36,96,3.074,1.165,0.00,.,1.909,G,
7,03/19/1984,03/26/1984,.,49,35,97,2.262,  .,0.00,.,.,L,water too low to record
7,03/26/1984,04/02/1984,.,61,37,91,4.059,2.065,0.00,.,1.994,G,
7,04/02/1984,04/09/1984,.,63,38,74,4.514,3.412,0.00,.,1.102,G,
7,04/09/1984,04/16/1984,.,85,36,86,3.990,1.436,0.00,.,2.554,G,
7,04/16/1984,04/23/1984,.,34,32,75,5.022,2.380,0.00,.,2.642,G,
7,04/23/1984,04/30/1984,.,60,34,62,3.944,1.368,0.00,.,2.576,G,
7,04/30/1984,05/07/1984,.,62,35,83,3.128,1.468,0.00,.,1.660,G,
7,05/07/1984,05/14/1984,.,68,40,110,2.958,.,0.00,.,.,L,Too low to read by approximately -1.000 (manually measured below lowest point of gauge)
7,05/14/1984,05/21/1984,.,58,42,110,2.067,1.845,2.00,.,2.222,G,
7,05/21/1984,05/28/1984,.,58,50,102,2.740,.,0.00,.,.,L,Too low to read by approximately -2.000 (manually measured below lowest point of gauge)
8,05/28/1984,06/05/1984,.,61,52,98,3.754,0.075,0.00,.,3.679,G,
6,06/05/1984,06/11/1984,.,68,54,100,3.350,0.855,0.00,.,2.495,G,
7,06/11/1984,06/18/1984,.,80,56,101,3.142,0.048,0.00,.,3.094,G,
7,06/18/1984,06/25/1984,.,68,58,104,2.932,0.068,0.00,.,2.864,G,
