2/4/13,radiometer reading,mJ Dose,Dilution,Plate 1 CFU,Plate 2 CFU,
B. pumilus ,0,0 mj,0.0000001,11,19,
purchased ,145.7,130 mJ,0.1,36,36,
From,146.8,180 mJ,0.1,32,28,
MESA Labs,144.7,230 mJ,0.1,17,13,
,,,,,,
2/27/13,radiometer reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus  MESA Strain,,0 mj,0.0000001,23,20,
.1mM MNSO4,141.9,80 mJ,0.00001,73,93,
grown in .generic spore media  ,139,130 mJ,0.0001,58,78,
5day incubation,141.4,180 mJ,0.001,46,51,
(*2-13-13 prep),141.4,230 mJ,0.001,45,36,
,140,280 mJ,0.001,17,25,
,,,,,,
3/4/13,radiometer reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0mj,0.000001,26,50,
.1mM MNSO4,0.1409,80 mJ,0.00001,61,55,
grown in Generic Spore media ,0.1433,130 mJ,0.0001,73,70,
5 day incubation,0.1422,180 mJ,0.001,58,75,
(*2-13-13 prep),0.1419,230 mJ,0.001,31,24,
,,,,,,
3/4/13,radiometer reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0mj,0.000001,122,116,
.1mM MNSO4,0.1395,80 mJ,0.0001,127,122,
grown in .5 Columbia broth media,0.1433,130 mJ,0.001,128,87,
5 day incubation,0.1429,180 mJ,0.001,2,4,
(*2-13-13 prep),0.1422,230 mJ,0.01,16,13,
,,,,,,
3/6/13,radiometer reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0mj,0.0000001,58,58,
.1mM MNSO4,0.1391,80 mJ,0.00001,38,46,
grown in .5 Columbia broth media ,0.1391,130 mJ,0.001,101,130,
5 day incubation,0.1393,180 mJ,0.01,48,47,
(*2-13-13 prep),0.1421,230 mJ,0.1,96,118,
,,,,,,
3/27/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,25,19,
.1mM MNSO4,0.14,80,0.00001,24,24,
grown in .5 Columbia broth media,0.1395,130,0.001,36,33,
5 day incubation,0.1393,180,0.001,14,9,
(*3-20-2013 prep),0.1398,230,0.01,52,50,
,,,,,,
3/27/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,50,42,
.1mM MNSO4,0.1371,80,0.00001,36,29,
grown in Generic Spore media ,0.1365,130,0.0001,55,53,
5 day incubation,0.1364,180,0.001,30,28,
(*3-20-13 prep),0.1373,230,0.001,6,5,
,,,,,,
4/1/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,85,95,
.1mM MNSO4,0.1396,80,0.0001,122,145,
grown in .5 Columbia broth media,0.1395,130,0.001,59,104,
5 day incubation,0.139,180,0.01,47,39,
(*3-20-2013 prep),0.1381,230,0.1,31,45,
,,,,,,
4/1/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,68,89,
.1mM MNSO4,0.1386,80,0.00001,69,52,
grown in Generic Spore media ,0.1384,130,0.0001,33,45,
5 day incubation,0.1381,180,0.01,173,174,
(*3-20-13 prep),0.1381,230,0.01,28,23,
,,,,,,
4/3/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.0000001,51,59,
.1mM MNSO4,0.14,80,0.0001,59,65,
grown in Generic Spore media ,0.1384,130,0.001,166,182,
5 day incubation,0.1377,180,0.01,97,101,
(*4-1-2013 prep),0.1386,230,0.01,32,27,
,,,,,,
4/3/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,148,151,
.1mM MNSO4,0.1391,80,0.0001,63,78,
grown in.5CB media ,0.1381,130,0.01,98,94,
5 day incubation,0.1393,180,0.01,16,16,
(*4-1-2013 prep),0.1386,230,0.1,68,80,
,,,,,,
4/4/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.0000001,25,21,
.1mM MNSO4,,80,0.0001,300,300,
grown in Generic Spore media ,,130,0.001,119,157,
5 day incubation,,180,0.001,17,16,
(*4-1-2013 prep),,230,0.01,19,17,
,,,,,,
4/4/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.0000001,18,18,
.1mM MNSO4,0.138,80,0.0001,86,92,
grown in .5 CB,0.1382,130,0.001,42,52,
5 day incubation,0.1373,180,0.01,34,42,
(*4-1-2013 prep),0.1366,230,0.1,22,39,
,,,,,,
4/9/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,32,38,
.1mM MNSO4,0.1419,80,0.0001,52,66,
grown in .5 CB,0.141,130,0.001,44,49,
5 day incubation,0.1412,180,0.01,20,31,
(*4-8-2013 prep),0.1419,230,0.1,114,109,
,,,,,,
4/10/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.0000001,14,16,
.1mM MNSO4,0.1369,80,0.00001,57,49,
grown in generic spore media,0.1366,130,0.0001,53,40,
5 day incubation,0.1375,180,0.001,33,33,
(*4-8-2013 prep),0.1399,230,0.01,35,49,
,,,,,,
4/18/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.0000001,14,21,
.1mM MNSO4,,80,0.00001,62,59,
grown in .5cb,,130,0.0001,39,68,
5 day incubation,,180,0.01,200,200,
(*4-17-2013 prep,,230,0.01,138,156,
,,,,,,
4/24/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,53,43,
.1mM MNSO4,137.5,20,0.000001,25,27,
grown in .5cb,138.4,40,0.00001,69,57,
5 day incubation,137.5,60,0.00001,29,33,
(*4-17-2013 prep),138.2,80,0.00001,10,14,
,138,130,0.001,22,27,
,137.3,180,0.01,40,47,
,136.2,230,0.01,34,35,
,136.2,280,0.01,23,24,
,1.33,320,0.1,66,51,
,,,,,,
5/1/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,41,37,
.1mM MNSO4,137.2,20,0.000001,24,27,
grown in .5cb,136.1,40,0.00001,43,49,
5 day incubation,137.3,60,0.00001,33,36,
(*4-23-2013 prep),135,80,0.00001,22,20,
,135.3,130,0.001,99,105,
,135.1,180,0.01,57,76,
,135.6,230,0.01,15,16,
,135.1,280,0.1,37,36,
,137.8,320,0.1,38,45,
,,,,,,
5/7/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,28,34,
.1mM MNSO4,136.5,20,0.000001,20,22,
grown in .5cb,136.3,40,0.000001,18,19,
5 day incubation,137.1,60,0.00001,20,31,
(*4-29-2013 prep),136.7,80,0.00001,10,14,
,137.1,130,0.001,65,72,
,136.8,180,0.01,27,42,
,136.3,230,0.01,26,27,
,136.5,280,0.01,18,18,
,136.8,320,0.1,32,31,
,,,,,,
5/15/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,57,70,
.1mM MNSO4,141,60,0.00001,36,49,
grown in .5cb,135.5,80,0.00001,24,22,
5 day incubation,135.8,130,0.0001,12,17,
(*5/7/2013 prep),137.2,180,0.001,10,16,
,138.7,230,0.01,30,53,
,137.3,280,0.01,18,16,
,138.5,320,0.01,12,17,
,,,,,,
5/22/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.0000001,22,18,
.1mM MNSO4,136.3,60,0.00001,43,41,
grown in .5cb,136.7,80,0.00001,24,22,
5 day incubation,135.3,130,0.0001,15,17,
(*5/14/2013 prep),135.4,180,0.01,62,64,
Lot #341937,133.6,230,0.01,20,22,
,134.3,280,0.01,10,17,
,135.1,320,0.01,15,9,
,,,,,,
5/28/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,62,51,
.1mM MNSO4,135.2,60,0.00001,23,26,
grown in .5cb,135.3,80,0.00001,16,18,
5 day incubation,135,130,0.0001,7,6,
(*5/14/2013 prep),135.6,180,0.01,18,24,
lot # 341937,135.5,230,0.01,14,12,
,134.5,280,0.1,29,31,
,135.6,320,0.1,23,26,
,,,,,,
5/29/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,40,35,
.1mM MNSO4,133.5,60,0.00001,47,47,
grown in .5cb,136.3,80,0.00001,27,25,
5 day incubation,134.1,130,0.0001,13,10,
(*5/21/2013 prep),134.1,180,0.001,18,9,
Difco Media lot 2289454,135.3,230,0.01,15,19,
,134.3,280,0.1,22,35,
,134.3,320,0.1,18,20,
,,,,,,
6/4/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,53,47,
.1mM MNSO4,139.8,60,0.00001,30,30,
grown in .5cb,138.1,80,0.00001,17,17,
5 day incubation,137.5,130,0.0001,15,11,
(*5/28/2013 prep),136.4,180,0.01,34,53,
bioworld ,138.1,230,0.01,14,20,
,139.2,280,0.01,15,17,
,137,320,0.01,12,11,
,,,,,,
6/11/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,50,50,
.1mM MNSO4,136.5,60,0.0001,44,46,
grown in .5cb,136,80,0.00001,19,21,
5 day incubation,137.4,130,0.0001,14,21,
(*5/28/2013 prep),136.1,180,0.01,43,46,
Bioworld,135,230,0.01,38,31,
,135.9,280,0.01,33,27,
,135.5,320,0.01,17,15,
,,,,,,
6/12/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,46,45,
.1mM MNSO4,137.5,60,0.00001,41,28,
grown in .5cb,136.8,80,0.00001,22,15,
5 day incubation,136.2,130,0.0001,14,15,
(*6/4/2013 prep),134.2,180,0.01,76,69,
remel 341937,135.2,230,0.01,33,30,
,135.5,280,0.01,12,19,
,135.5,320,0.1,29,35,
,,,,,,
6/17/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,71,67,
.1mM MNSO4,136.1,60,0.00001,37,45,
grown in .5cb,136,80,0.00001,32,32,
5 day incubation,135.8,130,0.0001,26,28,
(*6/4/2013 prep),135,180,0.001,14,12,
remel 341937,135.1,230,0.01,57,64,
,134.7,280,0.01,43,33,
,135.2,320,0.1,39,54,
,,,,,,
6/19/13,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
B. pumilus - MESA Strain,0,0,0.000001,49,57,
.1mM MNSO4,136,60,0.00001,58,56,
grown in .5cb,134.9,80,0.00001,32,29,
5 day incubation,137,130,0.0001,43,49,
(*6/11/2013 prep),137.2,180,0.001,50,41,
DIFCO 2289454,136.8,230,0.01,68,70,
