,eg:location,eg:month,eg:product,eg:value,eg:year
0,domestic,OCT,beets,685615,FY 2008
1,domestic,NOV,beets,708688,FY 2008
2,domestic,DEC,beets,710639,FY 2008
3,domestic,JAN,beets,661586,FY 2008
4,domestic,FEB,beets,485126,FY 2008
5,domestic,MAR,beets,423775,FY 2008
6,domestic,APR,beets,337473,FY 2008
7,domestic,MAY,beets,216526,FY 2008
8,domestic,JUN,beets,82987,FY 2008
9,domestic,JUL,beets,82214,FY 2008
10,domestic,AUG,beets,72614,FY 2008
11,imported,OCT,beets,0,FY 2008
12,imported,NOV,beets,0,FY 2008
13,imported,DEC,beets,0,FY 2008
14,imported,JAN,beets,0,FY 2008
15,imported,FEB,beets,37160,FY 2008
16,imported,MAR,beets,0,FY 2008
17,imported,APR,beets,0,FY 2008
18,imported,MAY,beets,0,FY 2008
19,imported,JUN,beets,0,FY 2008
20,imported,JUL,beets,0,FY 2008
21,imported,AUG,beets,0,FY 2008
22,Florida,OCT,cane,72703,FY 2008
23,Florida,NOV,cane,291794,FY 2008
24,Florida,DEC,cane,323663,FY 2008
25,Florida,JAN,cane,321414,FY 2008
26,Florida,FEB,cane,253438,FY 2008
27,Florida,MAR,cane,242560,FY 2008
28,Florida,APR,cane,92302,FY 2008
29,Florida,MAY,cane,47237,FY 2008
30,Florida,JUN,cane,0,FY 2008
31,Florida,JUL,cane,0,FY 2008
32,Florida,AUG,cane,0,FY 2008
33,Hawaii,OCT,cane,17871,FY 2008
34,Hawaii,NOV,cane,14126,FY 2008
35,Hawaii,DEC,cane,3415,FY 2008
36,Hawaii,JAN,cane,0,FY 2008
37,Hawaii,FEB,cane,0,FY 2008
38,Hawaii,MAR,cane,14244,FY 2008
39,Hawaii,APR,cane,16523,FY 2008
40,Hawaii,MAY,cane,21267,FY 2008
41,Hawaii,JUN,cane,30903,FY 2008
42,Hawaii,JUL,cane,19214,FY 2008
43,Hawaii,AUG,cane,25960,FY 2008
44,Louisiana,OCT,cane,440419,FY 2008
45,Louisiana,NOV,cane,499242,FY 2008
46,Louisiana,DEC,cane,473151,FY 2008
47,Louisiana,JAN,cane,33400,FY 2008
48,Louisiana,FEB,cane,0,FY 2008
49,Louisiana,MAR,cane,0,FY 2008
50,Louisiana,APR,cane,0,FY 2008
51,Louisiana,MAY,cane,0,FY 2008
52,Louisiana,JUN,cane,0,FY 2008
53,Louisiana,JUL,cane,0,FY 2008
54,Louisiana,AUG,cane,0,FY 2008
55,Texas,OCT,cane,19047,FY 2008
56,Texas,NOV,cane,20535,FY 2008
57,Texas,DEC,cane,31717,FY 2008
58,Texas,JAN,cane,24105,FY 2008
59,Texas,FEB,cane,29752,FY 2008
60,Texas,MAR,cane,32433,FY 2008
61,Texas,APR,cane,0,FY 2008
62,Texas,MAY,cane,0,FY 2008
63,Texas,JUN,cane,0,FY 2008
64,Texas,JUL,cane,0,FY 2008
65,Texas,AUG,cane,0,FY 2008
66,domestic,OCT,beets,743995,FY 2007
67,domestic,NOV,beets,718220,FY 2007
68,domestic,DEC,beets,736657,FY 2007
69,domestic,JAN,beets,663462,FY 2007
70,domestic,FEB,beets,491840,FY 2007
71,domestic,MAR,beets,433841,FY 2007
72,domestic,APR,beets,300485,FY 2007
73,domestic,MAY,beets,280319,FY 2007
74,domestic,JUN,beets,81390,FY 2007
75,domestic,JUL,beets,72829,FY 2007
76,domestic,AUG,beets,106419,FY 2007
77,imported,OCT,beets,0,FY 2007
78,imported,NOV,beets,0,FY 2007
79,imported,DEC,beets,0,FY 2007
80,imported,JAN,beets,0,FY 2007
81,imported,FEB,beets,36705,FY 2007
82,imported,MAR,beets,0,FY 2007
83,imported,APR,beets,0,FY 2007
84,imported,MAY,beets,0,FY 2007
85,imported,JUN,beets,0,FY 2007
86,imported,JUL,beets,0,FY 2007
87,imported,AUG,beets,0,FY 2007
88,Florida,OCT,cane,116974,FY 2007
89,Florida,NOV,cane,308690,FY 2007
90,Florida,DEC,cane,327080,FY 2007
91,Florida,JAN,cane,348000,FY 2007
92,Florida,FEB,cane,321659,FY 2007
93,Florida,MAR,cane,253908,FY 2007
94,Florida,APR,cane,42214,FY 2007
95,Florida,MAY,cane,0,FY 2007
96,Florida,JUN,cane,0,FY 2007
97,Florida,JUL,cane,0,FY 2007
98,Florida,AUG,cane,0,FY 2007
99,Hawaii,OCT,cane,17742,FY 2007
100,Hawaii,NOV,cane,12041,FY 2007
101,Hawaii,DEC,cane,21168,FY 2007
102,Hawaii,JAN,cane,0,FY 2007
103,Hawaii,FEB,cane,0,FY 2007
104,Hawaii,MAR,cane,9186,FY 2007
105,Hawaii,APR,cane,34618,FY 2007
106,Hawaii,MAY,cane,25074,FY 2007
107,Hawaii,JUN,cane,26049,FY 2007
108,Hawaii,JUL,cane,31088,FY 2007
109,Hawaii,AUG,cane,23781,FY 2007
110,Louisiana,OCT,cane,337636,FY 2007
111,Louisiana,NOV,cane,469458,FY 2007
112,Louisiana,DEC,cane,426505,FY 2007
113,Louisiana,JAN,cane,45611,FY 2007
114,Louisiana,FEB,cane,0,FY 2007
115,Louisiana,MAR,cane,0,FY 2007
116,Louisiana,APR,cane,0,FY 2007
117,Louisiana,MAY,cane,0,FY 2007
118,Louisiana,JUN,cane,0,FY 2007
119,Louisiana,JUL,cane,0,FY 2007
120,Louisiana,AUG,cane,0,FY 2007
121,Texas,OCT,cane,5612,FY 2007
122,Texas,NOV,cane,24403,FY 2007
123,Texas,DEC,cane,24707,FY 2007
124,Texas,JAN,cane,18071,FY 2007
125,Texas,FEB,cane,24934,FY 2007
126,Texas,MAR,cane,32257,FY 2007
127,Texas,APR,cane,26157,FY 2007
128,Texas,MAY,cane,21250,FY 2007
129,Texas,JUN,cane,0,FY 2007
130,Texas,JUL,cane,0,FY 2007
131,Texas,AUG,cane,0,FY 2007
