,@type,eg:amount_beneficiaries,eg:county,eg:indicator,eg:n_beneficiaries,eg:state
0,eg:Record,9764000,Autauga,Retirement / Retired workers,7065,Alabama
1,eg:Record,220000,Autauga,Retirement / Spouses,300,Alabama
2,eg:Record,82000,Autauga,Retirement / Children,130,Alabama
3,eg:Record,1004000,Autauga,Survivors / Widow(er)s and parents,840,Alabama
4,eg:Record,392000,Autauga,Survivors / Children,480,Alabama
5,eg:Record,2965000,Autauga,Disability / Disabled workers,2465,Alabama
6,eg:Record,10000,Autauga,Disability / Spouses,25,Alabama
7,eg:Record,220000,Autauga,Disability / Children,605,Alabama
8,eg:Record,5233000,Autauga,Aged 65 or older / Men,3310,Alabama
9,eg:Record,54242000,Baldwin,Retirement / Retired workers,37680,Alabama
10,eg:Record,1337000,Baldwin,Retirement / Spouses,1680,Alabama
11,eg:Record,316000,Baldwin,Retirement / Children,435,Alabama
12,eg:Record,4776000,Baldwin,Survivors / Widow(er)s and parents,3565,Alabama
13,eg:Record,1334000,Baldwin,Survivors / Children,1465,Alabama
14,eg:Record,9595000,Baldwin,Disability / Disabled workers,7670,Alabama
15,eg:Record,45000,Baldwin,Disability / Spouses,135,Alabama
16,eg:Record,542000,Baldwin,Disability / Children,1340,Alabama
17,eg:Record,30280000,Baldwin,Aged 65 or older / Men,18225,Alabama
18,eg:Record,5264000,Barbour,Retirement / Retired workers,4155,Alabama
19,eg:Record,123000,Barbour,Retirement / Spouses,175,Alabama
20,eg:Record,42000,Barbour,Retirement / Children,80,Alabama
21,eg:Record,546000,Barbour,Survivors / Widow(er)s and parents,510,Alabama
22,eg:Record,211000,Barbour,Survivors / Children,285,Alabama
23,eg:Record,1755000,Barbour,Disability / Disabled workers,1575,Alabama
24,eg:Record,4000,Barbour,Disability / Spouses,10,Alabama
25,eg:Record,106000,Barbour,Disability / Children,320,Alabama
26,eg:Record,2826000,Barbour,Aged 65 or older / Men,1970,Alabama
27,eg:Record,3879000,Bibb,Retirement / Retired workers,2905,Alabama
28,eg:Record,108000,Bibb,Retirement / Spouses,165,Alabama
29,eg:Record,51000,Bibb,Retirement / Children,70,Alabama
30,eg:Record,488000,Bibb,Survivors / Widow(er)s and parents,440,Alabama
31,eg:Record,235000,Bibb,Survivors / Children,290,Alabama
32,eg:Record,1615000,Bibb,Disability / Disabled workers,1380,Alabama
33,eg:Record,7000,Bibb,Disability / Spouses,20,Alabama
34,eg:Record,100000,Bibb,Disability / Children,275,Alabama
35,eg:Record,2174000,Bibb,Aged 65 or older / Men,1435,Alabama
36,eg:Record,11356000,Blount,Retirement / Retired workers,8335,Alabama
37,eg:Record,335000,Blount,Retirement / Spouses,490,Alabama
38,eg:Record,87000,Blount,Retirement / Children,140,Alabama
39,eg:Record,1270000,Blount,Survivors / Widow(er)s and parents,1055,Alabama
40,eg:Record,406000,Blount,Survivors / Children,455,Alabama
41,eg:Record,3331000,Blount,Disability / Disabled workers,2740,Alabama
42,eg:Record,14000,Blount,Disability / Spouses,50,Alabama
43,eg:Record,187000,Blount,Disability / Children,515,Alabama
44,eg:Record,6286000,Blount,Aged 65 or older / Men,4065,Alabama
45,eg:Record,1372000,Bullock,Retirement / Retired workers,1170,Alabama
46,eg:Record,20000,Bullock,Retirement / Spouses,30,Alabama
47,eg:Record,24000,Bullock,Retirement / Children,40,Alabama
48,eg:Record,127000,Bullock,Survivors / Widow(er)s and parents,135,Alabama
49,eg:Record,72000,Bullock,Survivors / Children,100,Alabama
50,eg:Record,578000,Bullock,Disability / Disabled workers,530,Alabama
51,eg:Record,1000,Bullock,Disability / Spouses,5,Alabama
52,eg:Record,37000,Bullock,Disability / Children,110,Alabama
53,eg:Record,656000,Bullock,Aged 65 or older / Men,515,Alabama
54,eg:Record,4040000,Butler,Retirement / Retired workers,3200,Alabama
55,eg:Record,66000,Butler,Retirement / Spouses,100,Alabama
56,eg:Record,31000,Butler,Retirement / Children,55,Alabama
57,eg:Record,435000,Butler,Survivors / Widow(er)s and parents,410,Alabama
58,eg:Record,172000,Butler,Survivors / Children,235,Alabama
59,eg:Record,1308000,Butler,Disability / Disabled workers,1205,Alabama
60,eg:Record,5000,Butler,Disability / Spouses,15,Alabama
61,eg:Record,68000,Butler,Disability / Children,225,Alabama
